tier,show_id,season_id,season_status,source_status,canonical_source_url,raw_receipt_count,candidate_count,canonical_episode_count,manual_review_count,qc_status
1,ATSH,ATSH_2024,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,1,30,14,0,WARNING
1,ATSH,ATSH_2025,completed,configured,https://www.youtube.com/@VieChannelHTV2/search?query=ANH%20TRAI%20SAY%20HI%202025%20T%E1%BA%ACP,3,75,14,5,WARNING
1,EXSH,EXSH_2025,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V,1,30,14,0,PASS
1,THSH,THSH_2026,airing,configured,https://www.youtube.com/@VieChannelHTV2/search?query=TINH%20H%C3%80%20SAY%20HI%20T%E1%BA%ACP,4,50,6,18,WARNING
1,ATVNCG,ATVNCG_2024,completed,configured,https://www.youtube.com/playlist?list=PLt3LgMEKzFxy03fvdFk_rEtjfVJfD8pUq,1,15,15,0,PASS
1,ATVNCG,ATVNCG_2026,airing,configured,https://www.youtube.com/playlist?list=PLdWk-MlnCC7M,1,6,6,0,WARNING
1,CDDG,CDDG_2023,completed,configured,https://www.youtube.com/playlist?list=PLt3LgMEKzFxxvhzWqiZPdQsr84wrtmK1A,1,15,15,0,PASS
1,CDDG,CDDG_2024,completed,configured,https://www.youtube.com/playlist?list=PLt3LgMEKzFxz2EslvirjbydcPyz_MZErF,1,15,15,0,PASS
2,RAPVIET,RAPVIET_2020,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,RAPVIET,RAPVIET_2021,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,RAPVIET,RAPVIET_2023,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DYy2yJiXnhMVnvNN1e31l7,2,32,16,1,WARNING
2,RAPVIET,RAPVIET_2024,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,TMSVN,TMSVN_2022,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,TMSVN,TMSVN_2023,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5ANJruYBhSGi5UBRUIhQTbi,3,32,16,0,PASS
2,TBTN,TBTN_2025,completed,configured,https://www.youtube.com/playlist?list=PLkdwPUk2nejAsI3DcmBXdLg1dv1M0XhrL,2,17,15,0,PASS
2,OURSONG,OURSONG_2024,completed,configured,https://www.youtube.com/playlist?list=PLy_TpcUT2LZs0BkTqKYtAn61FZgtT3XwP,2,15,14,0,PASS
2,VNIDOL,VNIDOL_2007,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2008,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2010,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2012,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2013,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2015,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2016,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,VNIDOL,VNIDOL_2023,completed,missing,,0,0,0,0,NOT_EXTRACTED
2,NHVDDP,NHVDDP_2024,completed,configured,https://www.youtube.com/playlist?list=PLJSRfYQoW3dlrKn-U263kJN6t8JogGz0r,3,44,15,0,WARNING
3,2N1D,2N1D_S1,completed,configured,https://www.youtube.com/playlist?list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr,2,31,31,0,PASS
3,2N1D,2N1D_S2,completed,configured,https://www.youtube.com/playlist?list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ,2,25,19,0,PASS
3,2N1D,2N1D_S3,completed,configured,https://www.youtube.com/playlist?list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz,2,30,30,0,PASS
3,2N1D,2N1D_S4,completed,configured,https://www.youtube.com/playlist?list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14,2,18,16,0,FAIL
3,RMVN,RMVN_S1,completed,configured,https://www.youtube.com/playlist?list=PLyb1d5OP9TmFphpG73S6sUrQm5uXV7IrJ,4,0,0,0,FAIL
3,RMVN,RMVN_S2,completed,configured,https://www.youtube.com/playlist?list=PLG7CUxrpEOnfzfuMy-SQsENMcthLsO_v-,2,31,15,0,FAIL
3,RMVN,RMVN_S3,completed,configured,https://www.youtube.com/playlist?list=PLxNMBnO9F8FOdZR7YLDrrT0bk3WaYyApf,2,18,16,2,PASS
3,RMVN,RMVN_2026,airing,missing,,0,0,0,0,NOT_EXTRACTED
3,GDHAHA,GDHAHA_S1,completed,configured,https://www.youtube.com/playlist?list=PLt3LgMEKzFxz_bKONMLhVVhqGkvgmz0rY,4,0,0,0,FAIL
3,GDHAHA,GDHAHA_S2,upcoming,missing,,0,0,0,0,NOT_EXTRACTED
3,SNN,SNN_S1,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CptpsuXpJwuxHpwWxlv1Tme,2,11,8,1,WARNING
3,SNN,SNN_S2,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CrwHkJz3hUNhzdEMhzHiIvg,2,10,8,0,WARNING
3,SNN,SNN_S3,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cp3lgS7G06G9w1mChbxZUf_,2,8,8,0,WARNING
3,SNN,SNN_S4,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqCdnDzNstfo0Gsjgkoou5x,2,8,8,0,WARNING
3,SNN,SNN_S5,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CoGXjo5DpopjFxHny_Ep9hH,2,10,8,0,WARNING
3,SNN,SNN_S6,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CphKjGtYpd6u7LJvJ9l3WCd,2,10,5,0,FAIL
3,SNN,SNN_S7,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0Co88uDvJGUYQ9npjPoaySdB,2,8,8,0,WARNING
3,SNN,SNN_S8,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqDKc1F_pBYsL8ma1oaAP4n,2,19,8,0,WARNING
3,SNN,SNN_2020,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CpiGXxipKjNENU8hkenUgOO,2,36,5,0,FAIL
3,SNN,SNN_2022,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqKPJB_nKNGC5usu-epusl-,2,17,14,1,FAIL
3,SNN,SNN_2023,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CriKOGYS3OtwqdTUYU8Ex1-,2,18,16,2,FAIL
3,SNN,SNN_2024_M,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cr41NjQr7k08taDRxmj_jUG,2,16,15,1,WARNING
3,SNN,SNN_2024_F,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CoI8qgSX7mPMpAC_nlcbf57,2,16,15,1,WARNING
3,SNN,SNN_2025,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cq3f_8Fj98GNIcl7l7tnjAp,2,16,15,1,FAIL
3,SNN,SNN_2026,airing,configured,https://www.youtube.com/playlist?list=PLZuraW9kAXuE,2,36,0,0,FAIL
