video_id,show_id,season_id,episode_no,snapshot_at,view_count,like_count,comment_count,source_method,actor_name,actor_run_id
0Gf5hvT7mRY,ATSH,ATSH_2024,7,2026-08-12T12:44:06.975475+07:00,9710009,134000,26042,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
13gXCV5Q3Bw,ATSH,ATSH_2024,2,2026-08-12T12:44:06.975475+07:00,11348483,104000,19976,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
4d_Uctu_wWI,ATSH,ATSH_2024,1,2026-08-12T12:44:06.975475+07:00,21912757,170000,21276,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
J3kCVv5SXNk,ATSH,ATSH_2024,13,2026-08-12T12:44:06.975475+07:00,8767608,163000,21386,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
QJx96CYpJNU,ATSH,ATSH_2024,9,2026-08-12T12:44:06.975475+07:00,16362008,205000,17256,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
UViWc8A8vjA,ATSH,ATSH_2024,6,2026-08-12T12:44:06.975475+07:00,14809400,133000,24981,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
XMXtFmrySgQ,ATSH,ATSH_2024,8,2026-08-12T12:44:06.975475+07:00,13926152,181000,33085,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
bVPfMsREl4g,ATSH,ATSH_2024,3,2026-08-12T12:44:06.975475+07:00,18375507,132000,18440,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
cKRcKPXnHgs,ATSH,ATSH_2024,5,2026-08-12T12:44:06.975475+07:00,10002864,108000,29339,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
hayn8WRniy0,ATSH,ATSH_2024,12,2026-08-12T12:44:06.975475+07:00,9724509,181000,29006,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
qKTqFeRb43w,ATSH,ATSH_2024,14,2026-08-12T12:44:06.975475+07:00,18968047,263000,13246,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
sZdDZDHLtaU,ATSH,ATSH_2024,4,2026-08-12T12:44:06.975475+07:00,10950673,100000,22342,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
u76BOoh4Ga8,ATSH,ATSH_2024,10,2026-08-12T12:44:06.975475+07:00,12337708,197000,21703,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
xIBKUvuO5Fk,ATSH,ATSH_2024,11,2026-08-12T12:44:06.975475+07:00,18120697,233000,25598,apify,streamers/youtube-scraper,6aaRakgaGJxf19zR1
4d_Uctu_wWI,ATSH,ATSH_2025,1,2026-08-12T13:50:58.446867+07:00,21913071,170000,21277,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
DXNSmHHkARY,ATSH,ATSH_2025,5,2026-08-12T13:50:58.446867+07:00,6055983,54000,8002,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
DkPgUmAKEgY,ATSH,ATSH_2025,10,2026-08-12T13:50:58.446867+07:00,4261610,46000,8792,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
JLE79Jh5e2U,ATSH,ATSH_2025,11,2026-08-12T13:50:58.446867+07:00,6230289,54000,8429,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
TH_z2nHyct4,ATSH,ATSH_2025,7,2026-08-12T13:50:58.446867+07:00,5929937,46000,6398,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
UViWc8A8vjA,ATSH,ATSH_2025,6,2026-08-12T13:50:58.446867+07:00,14809655,133000,24981,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
U_KeF48W4qE,ATSH,ATSH_2025,4,2026-08-12T13:50:58.446867+07:00,4514332,54000,6858,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
XMXtFmrySgQ,ATSH,ATSH_2025,8,2026-08-12T13:50:58.446867+07:00,13926274,181000,33084,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
_Fq2eGjRnmo,ATSH,ATSH_2025,14,2026-08-12T13:50:58.446867+07:00,4712541,57000,3309,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
bVPfMsREl4g,ATSH,ATSH_2025,3,2026-08-12T13:50:58.446867+07:00,18375739,132000,18440,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
e6EPRUnbogw,ATSH,ATSH_2025,13,2026-08-12T13:50:58.446867+07:00,3151985,36000,5697,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
hayn8WRniy0,ATSH,ATSH_2025,12,2026-08-12T13:50:58.446867+07:00,9724585,181000,29006,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
v8WCvNSPSa0,ATSH,ATSH_2025,2,2026-08-12T13:50:58.446867+07:00,6943725,79000,7973,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
zjYcqzWbNJE,ATSH,ATSH_2025,9,2026-08-12T13:50:58.446867+07:00,3338734,29000,1312,apify,streamers/youtube-scraper,M5uwXGq8dZ92waEPT
-lFBuMLqfPA,EXSH,EXSH_2025,7,2026-08-12T13:28:03.124842+07:00,6452819,69000,11422,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
DDJXbr6NlCI,EXSH,EXSH_2025,5,2026-08-12T13:28:03.124842+07:00,7420143,95000,23951,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
DNOYwiaVstY,EXSH,EXSH_2025,13,2026-08-12T13:28:03.124842+07:00,4310805,53000,10571,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
O-_lQxbES_s,EXSH,EXSH_2025,12,2026-08-12T13:28:03.124842+07:00,5965613,71000,12155,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
O86YTeWG7q4,EXSH,EXSH_2025,11,2026-08-12T13:28:03.124842+07:00,9076673,80000,19281,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
YzMcYwfj3V4,EXSH,EXSH_2025,14,2026-08-12T13:28:03.124842+07:00,7571557,87000,5833,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
de6UvFKbuZQ,EXSH,EXSH_2025,3,2026-08-12T13:28:03.124842+07:00,12314990,103000,9526,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
hiVt64PSzI0,EXSH,EXSH_2025,6,2026-08-12T13:28:03.124842+07:00,9479666,83000,9400,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
nAJdhVe_XGY,EXSH,EXSH_2025,9,2026-08-12T13:28:03.124842+07:00,11432038,92000,10873,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
p6BEWnZ_WjE,EXSH,EXSH_2025,2,2026-08-12T13:28:03.124842+07:00,9228499,92000,12623,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
piJAY4GF8s0,EXSH,EXSH_2025,10,2026-08-12T13:28:03.124842+07:00,7131023,77000,17690,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
qVliOE9Pg4U,EXSH,EXSH_2025,4,2026-08-12T13:28:03.124842+07:00,8051553,94000,16648,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
zYdWhh60euQ,EXSH,EXSH_2025,1,2026-08-12T13:28:03.124842+07:00,13593319,120000,11806,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
zzP6-SrQ7R8,EXSH,EXSH_2025,8,2026-08-12T13:28:03.124842+07:00,8577295,86000,14305,apify,streamers/youtube-scraper,TixQy2mPtqIl9j2Dw
0mQn-pPDLuM,THSH,THSH_2026,6,2026-08-12T13:52:21.084157+07:00,3175279,56000,5534,apify,streamers/youtube-scraper,W1tKZGzU3uGHBIo5U
AtIHwHuj8SQ,THSH,THSH_2026,1,2026-08-12T13:52:21.084157+07:00,8044135,93000,9885,apify,streamers/youtube-scraper,W1tKZGzU3uGHBIo5U
LnZjcfspWfM,THSH,THSH_2026,3,2026-08-12T13:52:21.084157+07:00,6356956,66000,6983,apify,streamers/youtube-scraper,W1tKZGzU3uGHBIo5U
StPsQV2sKRY,THSH,THSH_2026,5,2026-08-12T13:52:21.084157+07:00,5566925,66000,6066,apify,streamers/youtube-scraper,W1tKZGzU3uGHBIo5U
Tn8hY0WsE3I,THSH,THSH_2026,4,2026-08-12T13:52:21.084157+07:00,4545242,60000,10450,apify,streamers/youtube-scraper,W1tKZGzU3uGHBIo5U
3Y5hUQzv0e8,ATVNCG,ATVNCG_2024,8,2026-08-12T13:29:41.176900+07:00,3486434,91000,8679,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
4M7tpDj5Ljk,ATVNCG,ATVNCG_2024,5,2026-08-12T13:29:41.176900+07:00,4469273,54000,10690,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
6YAlgIs1ip0,ATVNCG,ATVNCG_2024,11,2026-08-12T13:29:41.176900+07:00,4362649,19000,2652,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
8NbKhGsnJyI,ATVNCG,ATVNCG_2024,15,2026-08-12T13:29:41.176900+07:00,5840166,55000,6972,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
G8D8xVwhRy8,ATVNCG,ATVNCG_2024,1,2026-08-12T13:29:41.176900+07:00,9633408,107000,20143,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
HDXbBkkDu6U,ATVNCG,ATVNCG_2024,14,2026-08-12T13:29:41.176900+07:00,4308643,90000,7722,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
OVoASkmWlGs,ATVNCG,ATVNCG_2024,4,2026-08-12T13:29:41.176900+07:00,5859408,74000,15899,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
QqCausYrRRY,ATVNCG,ATVNCG_2024,10,2026-08-12T13:29:41.176900+07:00,4632480,81000,8437,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
WmHmtuTUBw8,ATVNCG,ATVNCG_2024,3,2026-08-12T13:29:41.176900+07:00,4968817,74000,6724,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
YXtIs9-B0IU,ATVNCG,ATVNCG_2024,9,2026-08-12T13:29:41.176900+07:00,3398953,38000,5671,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
jFCC3YmHMa4,ATVNCG,ATVNCG_2024,2,2026-08-12T13:29:41.176900+07:00,7991119,97000,21786,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
u-qb8Ayxk2Q,ATVNCG,ATVNCG_2024,7,2026-08-12T13:29:41.176900+07:00,3060644,51000,6609,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
uLiIfZqmneQ,ATVNCG,ATVNCG_2024,6,2026-08-12T13:29:41.176900+07:00,3554134,60000,11094,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
uo0yKLxfzwY,ATVNCG,ATVNCG_2024,13,2026-08-12T13:29:41.176900+07:00,4177433,42000,5194,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
vE-4_m31wlM,ATVNCG,ATVNCG_2024,12,2026-08-12T13:29:41.176900+07:00,4172779,55000,9845,apify,streamers/youtube-scraper,5qWXsxtUoecRLfh75
8gPXKl3BpMc,ATVNCG,ATVNCG_2026,2,2026-08-12T13:30:02.436913+07:00,4381141,46000,8586,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
AXCczcyNCoQ,ATVNCG,ATVNCG_2026,3,2026-08-12T13:30:02.436913+07:00,3025738,32000,4434,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
ESz__7Pdyf8,ATVNCG,ATVNCG_2026,5,2026-08-12T13:30:02.436913+07:00,2200150,21000,2715,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
dXkw0uMUBYs,ATVNCG,ATVNCG_2026,1,2026-08-12T13:30:02.436913+07:00,6598360,70000,9449,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
qP0PAjdfH0s,ATVNCG,ATVNCG_2026,6,2026-08-12T13:30:02.436913+07:00,1805637,21000,3872,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
snc1rgD5W1M,ATVNCG,ATVNCG_2026,4,2026-08-12T13:30:02.436913+07:00,1682382,22000,5775,apify,streamers/youtube-scraper,swmXfvSodtaAJA8Jm
-LAdXYSoPLk,CDDG,CDDG_2023,4,2026-08-12T13:30:43.959268+07:00,3565324,50000,6572,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
8Y0bLhvw7CI,CDDG,CDDG_2023,5,2026-08-12T13:30:43.959268+07:00,4285240,46000,12045,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
9RyOdOoQp9A,CDDG,CDDG_2023,8,2026-08-12T13:30:43.959268+07:00,2495128,29000,6312,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
ErXWrG0vPd4,CDDG,CDDG_2023,11,2026-08-12T13:30:43.959268+07:00,3948160,41000,11401,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
FZntC9dTYmE,CDDG,CDDG_2023,14,2026-08-12T13:30:43.959268+07:00,2798669,36000,7245,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
IH6ocKZb7DY,CDDG,CDDG_2023,12,2026-08-12T13:30:43.959268+07:00,3493803,37000,11633,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
JTOz0uIPccI,CDDG,CDDG_2023,10,2026-08-12T13:30:43.959268+07:00,3005355,32000,6814,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
QtNJYcJCp18,CDDG,CDDG_2023,3,2026-08-12T13:30:43.959268+07:00,3730880,41000,8812,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
UuAXAlZvmtY,CDDG,CDDG_2023,13,2026-08-12T13:30:43.959268+07:00,2077977,16000,5866,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
Xh35QRR97Y4,CDDG,CDDG_2023,15,2026-08-12T13:30:43.959268+07:00,3233242,42000,9776,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
fWV4aSBxi6s,CDDG,CDDG_2023,9,2026-08-12T13:30:43.959268+07:00,3100541,34000,11446,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
iGJjD9CT3tQ,CDDG,CDDG_2023,6,2026-08-12T13:30:43.959268+07:00,2723263,29000,4329,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
lvq1qcPhQms,CDDG,CDDG_2023,2,2026-08-12T13:30:43.959268+07:00,3987123,42000,10399,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
o1KlL4j5O-w,CDDG,CDDG_2023,1,2026-08-12T13:30:43.959268+07:00,6974669,63000,10215,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
oPVl-fszgNc,CDDG,CDDG_2023,7,2026-08-12T13:30:43.959268+07:00,3355775,39000,10839,apify,streamers/youtube-scraper,Nm0uV0CdE8TP5YEgh
1XXa2h4EtJI,CDDG,CDDG_2024,3,2026-08-12T13:31:52.156437+07:00,3143684,45000,1709,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
9s4WMTeqZmc,CDDG,CDDG_2024,8,2026-08-12T13:31:52.156437+07:00,3153266,87000,7527,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
CvQC5KgiK7c,CDDG,CDDG_2024,5,2026-08-12T13:31:52.156437+07:00,2671156,40000,2514,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
FH8jhZYLY6I,CDDG,CDDG_2024,1,2026-08-12T13:31:52.156437+07:00,5336679,128000,6268,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
GC0PYg7k9wk,CDDG,CDDG_2024,15,2026-08-12T13:31:52.156437+07:00,2378051,30000,2586,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
OqQMkTtMO_g,CDDG,CDDG_2024,12,2026-08-12T13:31:52.156437+07:00,2929234,34000,3751,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
QO7S6k_QPoA,CDDG,CDDG_2024,10,2026-08-12T13:31:52.156437+07:00,2672127,46000,8267,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
U88iOtiZhd4,CDDG,CDDG_2024,7,2026-08-12T13:31:52.156437+07:00,2774455,38000,6457,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
W22D6pvvnY8,CDDG,CDDG_2024,9,2026-08-12T13:31:52.156437+07:00,3633825,38000,10623,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
_WeOgg2IuH4,CDDG,CDDG_2024,4,2026-08-12T13:31:52.156437+07:00,4130249,108000,4390,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
hSEtU7S6vzk,CDDG,CDDG_2024,2,2026-08-12T13:31:52.156437+07:00,3681874,52000,3468,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
ic64P20RdSk,CDDG,CDDG_2024,6,2026-08-12T13:31:52.156437+07:00,3005810,40000,5789,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
lDUhaxEAxb4,CDDG,CDDG_2024,11,2026-08-12T13:31:52.156437+07:00,2772110,33000,6634,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
rThLTG_UZ5U,CDDG,CDDG_2024,14,2026-08-12T13:31:52.156437+07:00,3615627,41000,2512,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
zHSjftVIZQ8,CDDG,CDDG_2024,13,2026-08-12T13:31:52.156437+07:00,2401876,33000,1397,apify,streamers/youtube-scraper,feieHpG3pLAJw9qYM
