show_id,show_name,season_id,season_year,season_status,format_type,episode_no,episode_label,part_no,video_id,video_url,title,normalized_title,channel_id,channel_name,channel_authority,playlist_id,playlist_name,playlist_position,published_at,duration_seconds,season_median_duration,duration_ratio,duration_flag,snapshot_at,age_days,lifetime_views_per_day,view_count,mainshow_flag,canonical_flag,split_episode_flag,reupload_flag,availability_status,classifier_score,classifier_confidence,review_status,exclusion_reason,notes,discovery_method,actor_name,actor_run_id,source_url
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,,,,r-RUnz9gPbw,https://www.youtube.com/watch?v=r-RUnz9gPbw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=22,Anh trai Erik - VP Bá Vương - Hải Đăng Doo - Roy Nguyễn - JSOL chiếm trọn ánh nhìn với Laviu|Sóng 24,anh trai erik vp ba vuong hai dang doo roy nguyen jsol chiem tron anh nhin voi laviu song 24,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,21,2024-02-11T04:00:17.000Z,282,11619.0,0.0243,strong_reject_short,2026-08-12T12:44:06.975475+07:00,913.07,116.41,106288,False,False,False,False,available,10,HIGH,EXCLUDE,,official_channel;official_full_playlist;show_alias_missing,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=r-RUnz9gPbw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=22
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,8,,,XMXtFmrySgQ,https://www.youtube.com/watch?v=XMXtFmrySgQ&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=8,"Anh Trai Say Hi Tập 8: Team Rhyder - Anh Tú bùng nổ, cú lội ngược dòng từ vòng Dance Battle nảy lửa",anh trai say hi tap 8 team rhyder anh tu bung no cu loi nguoc dong tu vong dance battle nay lua,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,7,2024-08-10T13:00:06.000Z,12639,11619.0,1.0878,normal,2026-08-12T12:44:06.975475+07:00,731.7,19032.67,13926152,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=XMXtFmrySgQ&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=8
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,,,,Dov2pHhp0Ko,https://www.youtube.com/watch?v=Dov2pHhp0Ko&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=24,"BTS: Anh trai Song Luân giữ nhiệm vụ ""làm màu sân cỏ"", đòi phạt thẻ đỏ A Bắp - Gin",bts anh trai song luan giu nhiem vu lam mau san co doi phat the do a bap gin,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,23,2024-04-25T05:57:24.000Z,740,11619.0,0.0637,strong_reject_short,2026-08-12T12:44:06.975475+07:00,838.99,12.89,10815,False,False,False,False,available,-15,HIGH,EXCLUDE,bts,hard_exclusion:bts,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=Dov2pHhp0Ko&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=24
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,2,,,13gXCV5Q3Bw,https://www.youtube.com/watch?v=13gXCV5Q3Bw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=14,"Anh Trai Say Hi - Tập 2: Nanon xuất hiện đốt cháy sân khấu, 6 đội trưởng vỡ òa vì cú twist phút cuối",anh trai say hi tap 2 nanon xuat hien dot chay san khau 6 doi truong vo oa vi cu twist phut cuoi,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,13,2024-06-22T13:00:06.000Z,9512,11619.0,0.8187,normal,2026-08-12T12:44:06.975475+07:00,780.7,14536.34,11348483,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=13gXCV5Q3Bw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=14
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,9,,,QJx96CYpJNU,https://www.youtube.com/watch?v=QJx96CYpJNU&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=7,"Anh Trai Say Hi Tập 9: Hội anh em - hội kịch liên tục hội ngộ, vô số anh trai đánh mất nụ hôn đầu",anh trai say hi tap 9 hoi anh em hoi kich lien tuc hoi ngo vo so anh trai danh mat nu hon dau,UC2Lgi2uPsOcCVF3imz7l2mg,Vie GIẢITRÍ,official_distribution_partner,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,6,2024-08-17T13:00:08.000Z,15596,11619.0,1.3423,normal,2026-08-12T12:44:06.975475+07:00,724.7,22577.72,16362008,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=QJx96CYpJNU&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=7
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,1,,,4d_Uctu_wWI,https://www.youtube.com/watch?v=4d_Uctu_wWI&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=15,"Anh Trai Say Hi - Tập 1: Cú ""knock out"" bất ngờ sẽ là BẢNH team ATUS hay I.C.O.N team ISAAC?",anh trai say hi tap 1 cu knock out bat ngo se la banh team atus hay i c o n team isaac,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,14,2024-06-15T13:00:06.000Z,12568,11619.0,1.0817,normal,2026-08-12T12:44:06.975475+07:00,787.7,27818.76,21912757,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=4d_Uctu_wWI&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=15
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,3,,,bVPfMsREl4g,https://www.youtube.com/watch?v=bVPfMsREl4g&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=13,"Anh Trai Say Hi - Tập 3: Đại chiến hồ bơi của quản gia Dương Lâm và 30 Anh Trai, lộ diện 8 demo mới",anh trai say hi tap 3 dai chien ho boi cua quan gia duong lam va 30 anh trai lo dien 8 demo moi,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,12,2024-06-29T13:00:07.000Z,12251,11619.0,1.0544,normal,2026-08-12T12:44:06.975475+07:00,773.7,23750.26,18375507,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=bVPfMsREl4g&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=13
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,10,,,u76BOoh4Ga8,https://www.youtube.com/watch?v=u76BOoh4Ga8&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=6,Anh Trai Say Hi Tập 10: Đắm chìm cùng loạt tiết mục đẳng cấp tại Tứ Kết với mọi cung bậc cảm xúc,anh trai say hi tap 10 dam chim cung loat tiet muc dang cap tai tu ket voi moi cung bac cam xuc,UC2Lgi2uPsOcCVF3imz7l2mg,Vie GIẢITRÍ,official_distribution_partner,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,5,2024-08-18T13:00:08.000Z,10987,11619.0,0.9456,normal,2026-08-12T12:44:06.975475+07:00,723.7,17048.16,12337708,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=u76BOoh4Ga8&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=6
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,,,,0UXCacoRFIw,https://www.youtube.com/watch?v=0UXCacoRFIw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=29,"BTS: A Bắp bỏ 100 triệu để đưa anh trai HIEUTHUHAI về đội, GinPu tình bể bình Cris Phan cỡ nào?",bts a bap bo 100 trieu de dua anh trai hieuthuhai ve doi ginpu tinh be binh cris phan co nao,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,28,2024-04-29T05:30:00.000Z,596,11619.0,0.0513,strong_reject_short,2026-08-12T12:44:06.975475+07:00,835.01,27.36,22846,False,False,False,False,available,-15,HIGH,EXCLUDE,bts,hard_exclusion:bts,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=0UXCacoRFIw&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=29
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,6,,,UViWc8A8vjA,https://www.youtube.com/watch?v=UViWc8A8vjA&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=10,"Anh Trai Say Hi Tập 6:Isaac, Rhyder, HIEUTHUHAI, Anh Tú, Dương Domic, Quân A.P all-in lập dream team",anh trai say hi tap 6 isaac rhyder hieuthuhai anh tu duong domic quan a p all in lap dream team,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,primary_broadcaster,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,9,2024-07-27T13:00:06.000Z,14704,11619.0,1.2655,normal,2026-08-12T12:44:06.975475+07:00,745.7,19859.8,14809400,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=UViWc8A8vjA&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=10
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,completed,closed_season,5,,,cKRcKPXnHgs,https://www.youtube.com/watch?v=cKRcKPXnHgs&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=11,"Anh Trai Say Hi - Tập 5: 30 Anh Trai đối diện vòng loại đầy hồi hộp, ai sẽ đi tiếp Livestage 3",anh trai say hi tap 5 30 anh trai doi dien vong loai day hoi hop ai se di tiep livestage 3,UC2Lgi2uPsOcCVF3imz7l2mg,Vie GIẢITRÍ,official_distribution_partner,PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,,10,2024-07-13T13:00:07.000Z,8715,11619.0,0.7501,normal,2026-08-12T12:44:06.975475+07:00,759.7,13166.91,10002864,True,True,False,False,available,20,HIGH,INCLUDE,,show_alias;numbered_episode;official_channel;official_full_playlist;plausible_duration,official_playlist,streamers/youtube-scraper,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=cKRcKPXnHgs&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=11
